Source:,C:\Users\natha\OneDrive\Documents\PCB Designs\RPCM1 IO Board\RPCM1 IO Board.kicad_sch,,,,,,,,
Date:,1/9/2023 3:18:24 PM,,,,,,,,
Tool:,Eeschema (6.0.9),,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,,,
Component Count:,60,,,,,,,,
Ref,Qnty,Cmp name,DK Name,Description,Datasheet,Manufacturer,DK Link,Price (Single),Price (Total)
"Q1, Q2, Q3, Q4, Q5, ",5,DMG1012T-7,DMG1012T-7,N-Channel 20 V 630mA (Ta) 280mW (Ta) Surface Mount SOT-523,https://www.diodes.com/assets/Datasheets/DMG1012T.pdf,Diodes Incorporated,https://www.digikey.com/en/products/detail/diodes-incorporated/DMG1012T-7/2174582,$0.33,$1.65
"R1, R2, ",2,RESISTOR0402,RC0402FR-071K74L,"1.74 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,YAGEO,https://www.digikey.com/en/products/detail/yageo/RC0402FR-071K74L/5280906,$0.10,$0.20
"R3, R5, R4, R8, R9, R10, R12, R13, ",8,100KOHM-0402-1_16W-1%,RC0402FR-07100KL,"100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,YAGEO,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100KL/726526,$0.10,$0.80
"R6, R15, ",2,470OHM,RC0402FR-07470RL,"470 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,YAGEO,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07470RL/726619,$0.10,$0.20
"R7, R11, R14, ",3,47KOHM-0603-1_10W-1%,RC0603FR-0747KL,"47 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film",https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,YAGEO,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0747KL/727253,$0.10,$0.30
"U1, ",1,AP2331W-7,AP2331W-7,Current Switch Regulator High-Side 200mA SC-59-3,https://www.diodes.com/assets/Datasheets/AP2331.pdf,Diodes Incorporated,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2331W-7/4251553,$0.43,$0.43
"U2, ",1,PESD3V3L5UY,"PESD3V3L5UY,115",12V Clamp 2.5A (8/20µs) Ipp Tvs Diode Surface Mount 6-TSSOP,https://assets.nexperia.com/documents/data-sheet/PESDXL5UF_V_Y.pdf,Nexperia USA Inc.,https://www.digikey.com/en/products/detail/nexperia-usa-inc/PESD3V3L5UY-115/1157444,$0.43,$0.43
"U3, ",1,PAM2306AYPKE,PAM2306AYPKE,"Buck Switching Regulator IC Positive Fixed 1.8V, 3.3V 2 Output 1A 12-WFDFN Exposed Pad",https://www.diodes.com/assets/Datasheets/PAM2306.pdf,Diodes Incorporated,https://www.digikey.com/en/products/detail/diodes-incorporated/PAM2306AYPKE/5306176,$0.76,$0.76
"U4, ",1,AP7115-25SEG-7,AP7115-25SEG-7,Linear Voltage Regulator IC Positive Fixed 1 Output 150mA SOT-353,https://media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/AP7115_Sept2017_DS.pdf,Diodes Incorporated,https://www.digikey.com/en/products/detail/diodes-incorporated/AP7115-25SEG-7/2044527,$0.42,$0.42
"U5, ",1,RaspberryPi-CM1,1717254-4,"200 Position SODIMM DDR2 SDRAM Socket Surface Mount, Right Angle",https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1717254&DocType=Customer+Drawing&DocLang=English,TE Connectivity AMP Connectors,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/1717254-4/9346779,$7.91,$7.91
"U6, ",1,FSUSB42UMX,FSUSB42UMX,USB Switch IC 1 Channel 10-UMLP (1.8x1.4),https://rocelec.widen.net/view/pdf/a7amyaouts/FAIR-S-A0001171768-1.pdf?t.download=true&u=5oefqw,onsemi,https://www.digikey.com/en/products/detail/onsemi/FSUSB42UMX/1642609,$0.75,$0.75
,,,,,,,,,$25.36
External Parts:,11,,,,,,,,
Type,Qnty,Cmp name,DK Name,Description,Datasheet,Manufacturer,DK Link,Price (Single),Price (Total)
Cable,1,USB A to C Cable,DH-20M50052,USB 2.0 Cable A Male to C Male 3.28' (1.00m) Shielded,https://media.digikey.com/pdf/Data%20Sheets/Cvilux%20USA%20PDFs/DH-20M50052_Dwg.pdf,Cvilux USA,https://www.digikey.com/en/products/detail/cvilux-usa/DH-20M50052/13177409,$1.68,$1.68
Cable,1,USB A to C Cable,4053,"USB 2.0, USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed+ (USB 3.1)) Cable C Female to A Male 0.98' (300.0mm) Unshielded",https://cdn-shop.adafruit.com/product-files/4053/4053_PCM-A-002_TYPE_C_F-USB_A_M_30cm_SCREW.pdf,Adafruit Industries LLC,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4053/9997695,$4.95,$4.95
Mounting,4,10-32 Threaded Inserts,1032X375H,"Insert Yellow 0.30"" Dia x 0.38"" H (7.5mm x 9.5mm)",https://media.digikey.com/pdf/Data%20Sheets/RAF%20Elect%20PDFs/product_Cat.pdf,"Tri-Star Industries, Inc.",https://www.digikey.com/en/products/detail/tri-star-industries-inc/1032X375H/13535332,$0.33,$1.32
Mounting,4,10-32 Screw,9909,#10-32 Pan Head Machine Screw Phillips Drive Stainless Steel,https://www.keyelco.com/userAssets/file/M65p135.pdf,Keystone Electronics,https://www.digikey.com/en/products/detail/keystone-electronics/9909/317329,$0.28,$1.12
Cooling,1,40mm 5v Fan,CFM-4010B-065-251-22,Fan Tubeaxial 5VDC Square - 40mm L x 40mm H Ball 5.5 CFM (0.154m³/min) 4 Wire Leads,https://www.cuidevices.com/product/resource/cfm-40b.pdf,CUI Devices,https://www.digikey.com/en/products/detail/cui-devices/CFM-4010B-065-251-22/16582006,$8.81,$8.81
Cooling,1,14mm x 14mm heatsink,HSB03-141406,Heat Sink BGA Aluminum Alloy 2.1W @ 75°C Top Mount,https://www.cuidevices.com/product/resource/hsb03-141406.pdf,CUI Devices,https://www.digikey.com/en/products/detail/cui-devices/HSB03-141406/14567064,$0.74,$0.74
,,,,,,,,,$18.62
,,,,,,,,,
,,,,,,,,,$43.98
